年分,縣市,房貸負擔率(%),房貸負擔率(百分點)季變動值,房貸負擔率(百分點)年變動值,房價所得比(倍),房價所得比(倍)季變動值,房價所得比(倍)年變動值
2021,臺中市,39.46,-1.17,1.05,9.87,-0.29,0.27
2021,臺南市,31.64,0.52,2.46,7.92,0.14,0.63
2021,高雄市,30.36,-0.04,1.28,7.6,0.0,0.33
2021,宜蘭縣,34.83,-0.23,1.86,8.71,-0.05,0.47
2021,新竹縣,33.0,1.51,0.81,8.26,0.39,0.21
2021,苗栗縣,31.73,0.55,2.86,7.94,0.15,0.72
2021,彰化縣,34.2,0.26,-0.45,8.56,0.08,-0.1
2021,南投縣,34.57,-0.13,4.53,8.65,-0.02,1.14
2021,雲林縣,27.76,0.2,-1.85,6.95,0.06,-0.45
2021,嘉義縣,22.3,1.21,0.8,5.58,0.31,0.21
2021,屏東縣,23.07,0.01,0.8,5.77,0.01,0.2
2021,臺東縣,31.76,-0.26,2.22,7.95,-0.05,0.57
2021,花蓮縣,33.96,0.39,2.84,8.5,0.11,0.72
2021,澎湖縣,33.3,-3.8,5.38,8.33,-0.95,1.35
2021,基隆市,22.8,-0.06,-0.14,5.7,-0.02,-0.03
2021,新竹市,29.66,0.97,2.61,7.42,0.25,0.66
2021,嘉義市,22.71,-0.03,3.18,5.68,-0.01,0.8
